Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2019,2020,2021,2022,2023
Burkina Faso,BFA,West African Development Bank - BOAD,957,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,19068037.8,26655864.1,28674109.5,29388448.5,28984959.9
Burkina Faso,BFA,World,WLD,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,165274397.4,164720038.8,213307705.4,222091769,224196083.5
Burkina Faso,BFA,World Bank-IDA                         ,905,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,29402000,32124000,44673955.7,51473217.3,60574825.1
Burundi,BDI,African Dev. Bank         ,913,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,735055.3,794048.2,1401186.2,1391104.4,1383903.1
Burundi,BDI,Arab Bank for Economic Dev. in Africa (BADEA),953,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,689000,689000,3099522.3,3082522.3,3038522.3
Burundi,BDI,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,137993.7,140000,11000,820971.4,820971.4
Burundi,BDI,European Investment Bank,919,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,10076.7,69629.7,0,0,0
Burundi,BDI,International Monetary Fund                 ,907,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,17262750.9,22528682.1,5991516.8,9217718.2,6481208.1
Burundi,BDI,Kuwait,552,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,243732.9,264509.6,510540.1,556653.4,556653.4
Burundi,BDI,OPEC Fund for International Dev.,951,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,7708000,6880000,7520210.1,7590476.7,7551476.7
Burundi,BDI,Saudi Arabia,566,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,527733.4,256266.7,2439563.5,2399563.5,3039310.1
Burundi,BDI,World,WLD,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,39747440.3,36087858.6,35087960.5,39660793.2,38447916
Burundi,BDI,World Bank-IDA                         ,905,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4242000,4234000,7165121,7671980.2,8889140.2
Cabo Verde,CPV,African Dev. Bank         ,913,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,13559839.1,15354386.3,17597234.3,17569869.3,20027308.6
Cabo Verde,CPV,Arab Bank for Economic Dev. in Africa (BADEA),953,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2687000,2820000,3568377.2,3617377.2,3569377.2
Cabo Verde,CPV,Austria,001,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,731118.4,780765.9,1182278.6,1178597.3,1171234.7
Cabo Verde,CPV,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2574385.5,1273588.4,2907458,3241750.9,3188192.4
Cabo Verde,CPV,Economic Community of West African States (ECOWAS),997,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2062853.1,2340352.7,2205110.3,1879438.3,1584011.8
Cabo Verde,CPV,European Investment Bank,919,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4301618.5,4322749.7,4431467.2,4387291.6,4335753.4
Cabo Verde,CPV,France,004,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1211439.7,615252.8,5500970.3,6123519,6032713.6
Cabo Verde,CPV,International Fund for Agricultural Dev. (IFAD),988,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,894848.5,896763.3,1227971.3,1973418.7,1959081.8
Cabo Verde,CPV,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1449564.8,721311.8,1562902.9,1777953.7,1758654.3
Cabo Verde,CPV,Kuwait,552,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1254895,675969.2,947518.7,1464030.6,1450855.3
Cabo Verde,CPV,Nordic Development Fund,950,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,127114.8,126769.1,129521.2,129521.2,129521.2
Cabo Verde,CPV,OPEC Fund for International Dev.,951,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2529667.6,2677062.7,2561705,2502023.7,2447342.4
Cabo Verde,CPV,Portugal,009,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,12609485.5,9956653.9,44491433.6,55745252.4,59790335.4
Cabo Verde,CPV,Saudi Arabia,566,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,396533.4,643466.7,1145316.4,1135716.4,1125849.7
Cabo Verde,CPV,Spain,050,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2462066.5,1844616.8,4511260,5048905.1,5019454.7
Cabo Verde,CPV,World,WLD,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,61448163.6,59110045.9,109588229.6,123671118.1,130067510.4
Cabo Verde,CPV,World Bank-IBRD                         ,901,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2135000,2193000,2455770.7,2433682.9,2414049.3
Cabo Verde,CPV,World Bank-IDA                         ,905,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,10335000,11658000,12704313.2,13000240.7,13603699.7
Cambodia,KHM,Asian Dev. Bank   ,915,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,62968000,69745000,88090134,89391681,94331968.9
Cambodia,KHM,Bondholders,BND,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,28050000,28050000,341849000,27824000,27824000
Cambodia,KHM,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,181841532.3,222767505,244478456.5,271475636.7,288422549.3
Cambodia,KHM,European Investment Bank,919,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,0,119000,1480000,2962029.4,4378058.8
Cambodia,KHM,France,004,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2777802.2,2941570.2,9232914.7,11010944.7,15980808.9
Cambodia,KHM,"Germany, Fed.Rep. Of",005,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,238481.2,264821.2,487628.5,515823.8,357855
Cambodia,KHM,India,646,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,7344000,7198000,6219928,6119928,3358928
